Date,Open,High,Low,Close,Adj Close,Volume
2005-10-01,20.900000,25.350000,20.850000,24.680000,23.266861,19199100
2005-11-01,24.700001,34.549999,24.690001,33.590000,31.666691,19402500
2005-12-01,34.000000,38.799999,31.379999,37.139999,35.013412,10610800
2006-01-01,37.200001,40.599998,28.299999,29.340000,27.660038,17765200
2006-02-01,29.100000,35.020000,28.350000,33.090000,31.195316,11538800
2006-03-01,33.090000,40.020000,31.320000,40.000000,37.709652,22842200
2006-04-01,40.000000,44.700001,36.189999,43.259998,40.782997,28442700
2006-05-01,43.189999,52.180000,42.759998,46.700001,44.026016,30935800
2006-06-01,45.680000,50.900002,41.000000,50.540001,47.646156,36790100
2006-07-01,50.630001,56.410000,44.750000,45.689999,43.073853,36524900
2006-08-01,45.599998,47.029999,36.799999,42.250000,39.830826,39158500
2006-09-01,42.400002,48.290001,38.799999,44.330002,41.791725,35609900
2006-10-01,45.000000,51.650002,43.810001,49.860001,47.005093,41267700
2006-11-01,49.950001,63.270000,47.000000,56.759998,53.510006,53478400
2006-12-01,57.509998,62.700001,53.849998,53.849998,50.766624,38323100
2007-01-01,53.889999,62.500000,51.520000,55.980000,52.774658,56962400
2007-02-01,56.500000,59.849998,50.599998,52.290001,49.295959,31647400
2007-03-01,51.000000,53.090000,44.009998,45.480000,42.875881,41854300
2007-04-01,45.259998,48.299999,36.680000,36.939999,34.824879,56718000
2007-05-01,36.700001,37.410000,32.099998,35.650002,33.608738,73097600
2007-06-01,35.720001,35.959999,26.780001,30.270000,28.536785,64379100
2007-07-01,30.680000,36.810001,30.379999,31.010000,29.234407,60015000
2007-08-01,30.730000,32.709999,24.260000,30.950001,29.177849,50467200
2007-09-01,30.860001,33.959999,25.700001,26.250000,24.746964,39961800
2007-10-01,26.620001,33.450001,26.000000,27.660000,26.076231,61631800
2007-11-01,27.250000,27.500000,18.000000,20.770000,19.580742,71970200
2007-12-01,21.209999,21.209999,14.410000,14.710000,13.867727,62582800
2008-01-01,14.550000,14.580000,10.180000,13.840000,13.047542,100230100
2008-02-01,13.980000,16.440001,12.400000,12.400000,11.689993,54642800
2008-03-01,12.190000,12.960000,7.240000,8.910000,8.399829,70380100
2008-04-01,9.200000,9.940000,6.100000,8.590000,8.098151,78012700
2008-05-01,8.650000,9.620000,3.960000,3.960000,3.733257,112579700
2008-06-01,4.030000,4.770000,2.300000,2.500000,2.356853,212179900
2008-07-01,2.460000,5.800000,1.450000,5.060000,4.770270,286134300
2008-08-01,5.300000,9.790000,4.680000,8.490000,8.003873,361759400
2008-09-01,9.900000,10.460000,5.290000,6.030000,5.684732,233673000
2008-10-01,6.010000,10.990000,3.160000,10.140000,9.559399,236045600
2008-11-01,10.540000,11.240000,4.000000,5.960000,5.618739,154783600
2008-12-01,5.790000,8.050000,4.880000,7.730000,7.287391,111437900
2009-01-01,7.730000,9.700000,5.390000,5.670000,5.345344,138012100
2009-02-01,5.620000,6.150000,2.720000,2.850000,2.686813,127771700
2009-03-01,2.800000,3.460000,1.880000,2.530000,2.385135,139975900
2009-04-01,2.460000,5.060000,2.440000,3.790000,3.572990,149712300
2009-05-01,3.960000,5.350000,2.410000,2.580000,2.432273,196763900
2009-06-01,2.610000,3.200000,2.110000,2.430000,2.290862,162758500
2009-07-01,2.400000,3.120000,2.000000,2.930000,2.762233,174612400
2009-08-01,2.980000,3.880000,2.610000,3.400000,3.205321,207690400
